gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol
RDH10,111.72031480324105,0.041811797651600154,0.3793468709922185,0.11022048907965774,0.9122345133369114,0.9998768502382094,RDH10
RENO1,10.6118818998992,0.7784155847512078,1.1879407147658516,0.6552646736286304,0.5122973611615518,0.9998768502382094,RENO1
RENBP,589.3558712285779,-0.1976251308729955,0.18295449213879145,-1.0801873655175118,0.28005875344317044,0.9998768502382094,RENBP
REM2,8.862768553645818,-1.013058178568726,1.309615697034683,-0.7735537844136704,0.43919471112235,0.9998768502382094,REM2
RCOR2,34.22977907641809,0.18284618032129218,0.6833326246625283,0.2675800535816549,0.7890225861898296,0.9998768502382094,RCOR2
RBM39,8797.732163292954,-0.01185037439313796,0.09818826730789523,-0.12069033009797374,0.9039363184693237,0.9998768502382094,RBM39
RBM4B,291.9393408646636,0.04512395516868868,0.2447119330342833,0.18439621888960753,0.8537026358505618,0.9998768502382094,RBM4B
RBM48,257.6139481092612,-0.09799416232484387,0.25809149045782454,-0.37968769195378554,0.7041772575906382,0.9998768502382094,RBM48
RBM47,135.23780560815715,0.2196182754799602,0.3632518772782164,0.6045895127246748,0.5454517765937787,0.9998768502382094,RBM47
RBM45,213.7497173255346,0.06700654106017549,0.2807320806529113,0.23868501563603042,0.8113498367661736,0.9998768502382094,RBM45
RCC1L,249.1068453182962,0.19842234371038753,0.2731678904679388,0.7263750632275574,0.4676088740782198,0.9998768502382094,RCC1L
RCC1,782.8464852683613,0.19166724778315264,0.16956332269315477,1.1303579379014503,0.25832543029265265,0.9998768502382094,RCC1
RCBTB2,393.97466562783586,0.29534822036991065,0.22124478680776197,1.33493866513807,0.18189642165566755,0.9998768502382094,RCBTB2
RBM41,482.92085709252876,-0.11286507715393769,0.20217681544972077,-0.5582493566479488,0.576674121687869,0.9998768502382094,RBM41
RBM4,1282.712919774253,0.0947735848982218,0.14030211762447287,0.6754964679285103,0.49936039466394944,0.9998768502382094,RBM4
RBM5,3725.1296724088365,-0.07565032784681346,0.11032062816818751,-0.6857314819807043,0.49288245047592727,0.9998768502382094,RBM5
RBM38,432.8452190358298,-0.17678320152323942,0.20833888763185734,-0.8485367447848814,0.396139117751492,0.9998768502382094,RBM38
RBM34,602.4277983330193,0.12535019768471017,0.1812802833021752,0.6914717662690574,0.4892691176614897,0.9998768502382094,RBM34
RBM33-DT,89.27030982117863,0.015783375182927058,0.42000879172611866,0.03757867809876503,0.9700236083243994,0.9998768502382094,RBM33-DT
RBM33,1775.1078045563918,-0.14906703307617444,0.12980816280682503,-1.148364092464737,0.25081829055264104,0.9998768502382094,RBM33
RBM3,3049.8246260522756,0.05622448641650502,0.11378307702067783,0.4941375105041968,0.621209068258681,0.9998768502382094,RBM3
RBM28,1148.1994498770705,0.054786119981141225,0.14440452413037186,0.3793933764268978,0.7043957684140283,0.9998768502382094,RBM28
RBM27,852.9215456488191,0.12525976184662627,0.16011514275701788,0.7823105278475363,0.4340321012139443,0.9998768502382094,RBM27
RBM26-AS1,66.52384176628343,-0.20334194213176376,0.49151834346664885,-0.4137016346075824,0.6790926298346506,0.9998768502382094,RBM26-AS1
RCOR3,1466.755911858136,-0.08879754864938659,0.13425089808608906,-0.6614298296346942,0.508336701313796,0.9998768502382094,RCOR3
RC3H1,1221.8256097708995,-0.08041879106578378,0.1424241720113071,-0.564642854721313,0.5723167102934159,0.9998768502382094,RC3H1
RBX1,563.070622693326,0.2431019249575753,0.18845492458670127,1.2899738517882717,0.1970597370292383,0.9998768502382094,RBX1
RBSN,438.2395951475478,-0.2299288342464459,0.21365231646839822,-1.0761822668112992,0.2818457489700191,0.9998768502382094,RBSN
RBPMS,40.76402640797955,0.3662232865712043,0.619653476742715,0.5910130424770667,0.5545116821311082,0.9998768502382094,RBPMS
RBPJ,1920.3774844867066,0.15139395103915435,0.12499219636067227,1.2112272241564448,0.2258083316374363,0.9998768502382094,RBPJ
RBP5,8.668103233091166,-0.2747200794915941,1.309408955974425,-0.20980464371969657,0.8338201485650061,0.9998768502382094,RBP5
RBP1,11.145614338685196,-0.5676532508805354,1.1564206806956543,-0.490870891844531,0.6235177657694918,0.9998768502382094,RBP1
RD3,6.15247708391934,0.09484941766954086,1.5294465075132928,0.06201551816529712,0.950550474079201,0.9998768502382094,RD3
RCSD1,1484.2353030078311,-0.28326728538819546,0.14070176689681566,-2.0132461136463973,0.044088744193972504,0.9998768502382094,RCSD1
REX1BD,229.18190508583433,0.10682704280866373,0.2736770339240083,0.3903398150621814,0.6962852855108765,0.9998768502382094,REX1BD
RBMS3-AS3,43.61148100834497,0.05672423358044529,0.6038845276155914,0.09393225192309224,0.9251629737644408,0.9998768502382094,RBMS3-AS3
RBMS3-AS2,50.09409278710141,-0.42255706480194005,0.5622955570842014,-0.7514856901824388,0.4523604095644089,0.9998768502382094,RBMS3-AS2
RBMS3,27.038248864522416,0.2186938815765152,0.7572904948124773,0.28878466463608377,0.7727461682093401,0.9998768502382094,RBMS3
RBMS2,363.99731657617633,-0.0409519512985364,0.2273267330122678,-0.1801457785271845,0.8570381243771554,0.9998768502382094,RBMS2
RBMS1,1009.9823800029584,-0.06915005428082792,0.15084119851442454,-0.4584294938111042,0.6466439061731535,0.9998768502382094,RBMS1
RBM8A,1772.8756236932963,0.021794658013519493,0.12824559751201678,0.16994468766444248,0.8650536365785874,0.9998768502382094,RBM8A
